article	simple	complex
Blue Grass, Iowa	12	374
Bode, Iowa	11	387
Bonaparte, Iowa	11	504
Bondurant, Iowa	11	170
Boone, Iowa	11	1193
Booneville, Iowa	11	423
Bouton, Iowa	11	470
Boxholm, Iowa	11	377
Boyden, Iowa	11	435
Braddyville, Iowa	11	496
Bradford, Iowa	11	440
Bradgate, Iowa	22	389
Brandon, Iowa	44	406
Brayton, Iowa	11	899
Breda, Iowa	11	462
Bridgewater, Iowa	11	488
Brighton, Iowa	20	545
Bristow, Iowa	11	550
Britt, Iowa	11	955
Bronson, Iowa	11	169
Brooklyn, Iowa	11	404
Brunsville, Iowa	11	426
Buck Grove, Iowa	12	415
Buckeye, Iowa	11	402
Buffalo Center, Iowa	12	14
Buffalo, Iowa	11	1612
Burt, Iowa	11	427
Bussey, Iowa	11	400
Calamus, Iowa	27	405
Callender, Iowa	11	394
Calmar, Iowa	11	442
Calumet, Iowa	11	402
Camanche, Iowa	11	425
Cambridge, Iowa	11	418
Cantril, Iowa	11	559
Carbon, Iowa	11	375
Carlisle, Iowa	11	372
Carpenter, Iowa	11	373
Carroll, Iowa	11	446
Carson, Iowa	28	474
Carter Lake, Iowa	12	564
Cascade, Iowa	11	409
Casey, Iowa	11	405
Castalia, Iowa	11	943
Castana, Iowa	21	476
Cedar Falls, Iowa	31	398
Center Junction, Iowa	12	647
Center Point, Iowa	12	451
Centerville, Iowa	11	423
Central City, Iowa	12	662
Centralia, Iowa	11	1309
Chariton, Iowa	11	516
Charles City, Iowa	12	784
Charlotte, Iowa	11	403
Charter Oak, Iowa	12	968
Chatsworth, Iowa	11	735
Chelsea, Iowa	11	451
Cherokee, Iowa	11	407
Chester, Iowa	11	573
Chillicothe, Iowa	11	1084
Churdan, Iowa	11	401
Cincinnati, Iowa	25	433
Clare, Iowa	11	2186
Clarence, Iowa	11	448
Clarinda, Iowa	11	394
Clarion, Iowa	11	646
Clarksville, Iowa	11	1572
Clayton, Iowa	11	412
Clear Lake, Iowa	12	402
Clearfield, Iowa	21	385
Cleghorn, Iowa	11	470
Clemons, Iowa	11	680
Clermont, Iowa	11	407
Clinton, Iowa	11	549
Clio, Iowa	11	587
Clive, Iowa	11	489
Clutier, Iowa	11	386
Coburg, Iowa	11	485
Coggon, Iowa	11	1100
Coin, Iowa	11	2016
Colesburg, Iowa	11	461
Colfax, Iowa	11	392
College Springs, Iowa	12	990
Collins, Iowa	11	421
Colo, Iowa	11	380
Columbus City, Iowa	12	386
Columbus Junction, Iowa	12	442
Colwell, Iowa	11	1851
Conesville, Iowa	11	514
Conrad, Iowa	11	739
Conway, Iowa	11	430
Coon Rapids, Iowa	12	344
Coppock, Iowa	11	445
Coralville, Iowa	17	433
Corning, Iowa	11	383
Correctionville, Iowa	11	725
Corwith, Iowa	21	434
Corydon, Iowa	11	530
Cotter, Iowa	11	592
Coulter, Iowa	11	422
Council Bluffs, Iowa	43	664
Craig, Iowa	11	390
Crawfordsville, Iowa	11	420
Crescent, Iowa	11	442
Cresco, Iowa	11	387
Cromwell, Iowa	11	1967
Crystal Lake, Iowa	12	437
Cumberland, Iowa	14	1482
Cumming, Iowa	11	1187
Curlew, Iowa	11	528
Cushing, Iowa	11	406
Cylinder, Iowa	11	877
Dakota City, Iowa	12	407
Dallas Center, Iowa	12	581
Dana, Iowa	11	4492
Danbury, Iowa	11	358
Danville, Iowa	11	432
Davenport, Iowa	29	521
Davis City, Iowa	12	702
Dawson, Iowa	11	397
Dayton, Iowa	11	422
De Soto, Iowa	12	403
Decatur City, Iowa	12	429
Decorah, Iowa	11	357
Dedham, Iowa	11	410
Deep River, Iowa	12	451
Defiance, Iowa	11	536
Delaware, Iowa	11	746
Delhi, Iowa	11	383
Delmar, Iowa	11	496
Deloit, Iowa	11	435
Delphos, Iowa	11	6536
Delta, Iowa	11	432
Denison, Iowa	11	403
Denver, Iowa	11	461
Derby, Iowa	11	432
Dexter, Iowa	11	401
Diagonal, Iowa	11	972
Dickens, Iowa	11	401
Dike, Iowa	11	448
Dixon, Iowa	11	412
Dolliver, Iowa	11	409
Donahue, Iowa	11	511
Donnellson, Iowa	11	454
Doon, Iowa	25	418
Dougherty, Iowa	11	347
Dow City, Iowa	12	406
Dows, Iowa	11	558
Drakesville, Iowa	11	540
Dubuque, Iowa	11	380
Dumont, Iowa	11	554
Duncombe, Iowa	11	382
Dundee, Iowa	11	392
Dunkerton, Iowa	11	445
Dunlap, Iowa	11	394
Durango, Iowa	11	411
Durant, Iowa	11	457
Dyersville, Iowa	11	430
Dysart, Iowa	11	533
Eagle Grove, Iowa	26	396
Earlham, Iowa	11	475
Earling, Iowa	11	1516
Earlville, Iowa	11	403
Early, Iowa	11	5321
East Peru, Iowa	12	420
Eddyville, Iowa	11	414
Edgewood, Iowa	11	425
Elberon, Iowa	11	718
Eldon, Iowa	11	529
Eldora, Iowa	21	439
Eldridge, Iowa	11	685
Elgin, Iowa	11	842
Elk Horn, Iowa	12	664
Elk Run Heights, Iowa	13	934
Elkader, Iowa	11	425
Elkhart, Iowa	11	609
Elkport, Iowa	11	420
Elliott, Iowa	11	475
Ellston, Iowa	11	453
Ellsworth, Iowa	11	651
Elma, Iowa	11	441
Elvira, Iowa	11	412
Ely, Iowa	11	550
Emerson, Iowa	11	501
Emmetsburg, Iowa	11	850
Epworth, Iowa	11	423
Essex, Iowa	11	687
Estherville, Iowa	11	446
Evansdale, Iowa	11	492
Everly, Iowa	11	455
Exira, Iowa	11	382
Exline, Iowa	11	397
Fairbank, Iowa	11	473
Fairfax, Iowa	11	411
Fairfield, Iowa	11	425
Farley, Iowa	11	25
Farmersburg, Iowa	11	429
Farmington, Iowa	11	410
Farnhamville, Iowa	11	679
Farragut, Iowa	11	811
Fayette, Iowa	11	416
Fenton, Iowa	11	519
Ferguson, Iowa	11	1288
Fertile, Iowa	11	417
Floris, Iowa	11	636
Floyd, Iowa	11	388
Fonda, Iowa	11	438
Fontanelle, Iowa	11	455
Forest City, Iowa	12	2828
Fort Atkinson, Iowa	12	738
Fort Dodge, Iowa	12	401
Fort Madison, Iowa	12	414
Fostoria, Iowa	11	429
Franklin, Iowa	11	413
Fraser, Iowa	11	490
Fredericksburg, Iowa	11	417
Frederika, Iowa	11	392
Fredonia, Iowa	11	427
Fremont, Iowa	11	396
Fruitland, Iowa	16	394
Galt, Iowa	11	1498
Galva, Iowa	16	403
Garber, Iowa	11	609
Garden Grove, Iowa	12	719
Garnavillo, Iowa	11	1768
Garner, Iowa	11	1960
Garrison, Iowa	11	409
Garwin, Iowa	11	431
Geneva, Iowa	11	476
George, Iowa	11	414
Gibson, Iowa	11	426
Gilbert, Iowa	11	418
Gilbertville, Iowa	11	406
Gillett Grove, Iowa	12	522
Gilman, Iowa	11	335
Gilmore City, Iowa	12	391
Gladbrook, Iowa	11	379
Glenwood, Iowa	11	741
Glidden, Iowa	11	383
Goldfield, Iowa	11	436
Goodell, Iowa	11	551
Goose Lake, Iowa	12	794
Gowrie, Iowa	11	385
Graettinger, Iowa	11	524
Graf, Iowa	11	374
Grafton, Iowa	16	835
Grand Junction, Iowa	12	419
Grand Mound, Iowa	12	385
Grand River, Iowa	12	400
Grandview, Iowa	11	496
Granger, Iowa	11	581
Grant, Iowa	11	1078
Granville, Iowa	11	502
Gravity, Iowa	11	756
Gray, Iowa	11	403
Greeley, Iowa	11	384
Greene, Iowa	11	420
Greenfield, Iowa	20	473
Greenville, Iowa	11	372
Grimes, Iowa	11	404
Grinnell, Iowa	11	417
Griswold, Iowa	11	406
Grundy Center, Iowa	12	440
Gruver, Iowa	11	464
Guernsey, Iowa	11	444
Guthrie Center, Iowa	12	404
Guttenberg, Iowa	55	477
Halbur, Iowa	11	425
Hamburg, Iowa	11	381
Hamilton, Iowa	11	416
Hampton, Iowa	11	524
Hancock, Iowa	11	1587
Hanlontown, Iowa	11	533
Hansell, Iowa	11	720
Harcourt, Iowa	11	1114
Hardy, Iowa	11	416
Harlan, Iowa	11	447
Harper, Iowa	11	384
Harpers Ferry, Iowa	12	391
Harris, Iowa	11	453
Hartford, Iowa	11	915
Hartley, Iowa	11	380
Hartwick, Iowa	20	498
Harvey, Iowa	11	394
Hastings, Iowa	11	535
Havelock, Iowa	11	448
Haverhill, Iowa	11	459
Hawarden, Iowa	11	392
Hawkeye, Iowa	11	399
Hayesville, Iowa	11	383
Hazleton, Iowa	11	650
Hedrick, Iowa	11	374
Henderson, Iowa	11	445
Hepburn, Iowa	11	413
Hiawatha, Iowa	11	426
Hills, Iowa	11	420
Hillsboro, Iowa	11	370
Hinton, Iowa	11	381
Holland, Iowa	11	418
Holstein, Iowa	11	389
Holy Cross, Iowa	12	406
Hopkinton, Iowa	11	585
Hornick, Iowa	11	393
Hospers, Iowa	11	358
Houghton, Iowa	11	437
Hubbard, Iowa	16	494
Hudson, Iowa	28	391
Hull, Iowa	11	394
Humboldt, Iowa	11	1343
Humeston, Iowa	11	439
Huxley, Iowa	11	402
Ida Grove, Iowa	12	578
Imogene, Iowa	11	397
Independence, Iowa	11	452
Indianola, Iowa	11	591
Inwood, Iowa	11	433
Ionia, Iowa	31	462
Iowa City, Iowa	68	465
Iowa Falls, Iowa	12	468
Ireton, Iowa	11	415
Irwin, Iowa	11	483
Jackson Junction, Iowa	12	587
Jamaica, Iowa	11	1566
Janesville, Iowa	11	424
Jefferson, Iowa	11	468
Jesup, Iowa	11	454
Jewell Junction, Iowa	53	379
Johnston, Iowa	20	1811
Joice, Iowa	11	553
Jolley, Iowa	11	442
Kalona, Iowa	11	368
Kamrar, Iowa	11	3604
Kanawha, Iowa	11	571
Kellerton, Iowa	11	789
Kelley, Iowa	11	416
Kellogg, Iowa	11	410
Kensett, Iowa	11	484
Kent, Iowa	11	1002
Keokuk, Iowa	11	680
Keomah Village, Iowa	12	547
Keosauqua, Iowa	11	503
Keota, Iowa	17	739
Keswick, Iowa	11	409
Keystone, Iowa	11	387
Kimballton, Iowa	11	665
Kingsley, Iowa	11	406
Kinross, Iowa	11	588
Kirkman, Iowa	11	392
Kirkville, Iowa	11	406
Kiron, Iowa	11	594
Klemme, Iowa	11	391
Knierim, Iowa	11	384
Knoxville, Iowa	11	1814
La Motte, Iowa	12	398
La Porte City, Iowa	13	644
Lacona, Iowa	11	444
Ladora, Iowa	11	447
Lake City, Iowa	12	411
Lake Mills, Iowa	29	522
Lake Park, Iowa	12	453
Lake View, Iowa	12	462
Lakeside, Iowa	11	419
Lakota, Iowa	11	397
Lambs Grove, Iowa	12	434
Lamoni, Iowa	11	423
Lamont, Iowa	11	385
Lanesboro, Iowa	11	831
Lansing, Iowa	11	395
Larchwood, Iowa	11	438
Larrabee, Iowa	11	406
Latimer, Iowa	11	399
Laurel, Iowa	11	512
Laurens, Iowa	11	437
Lawler, Iowa	11	444
Lawton, Iowa	11	523
Le Claire, Iowa	11	416
Le Grand, Iowa	101	408
Le Mars, Iowa	12	434
Le Roy, Iowa	12	801
Ledyard, Iowa	11	501
Lehigh, Iowa	11	417
Leighton, Iowa	11	490
Leland, Iowa	11	783
Lenox, Iowa	11	364
Leon, Iowa	11	1049
Lester, Iowa	11	412
Letts, Iowa	11	597
Lewis, Iowa	11	415
Libertyville, Iowa	11	440
Lidderdale, Iowa	17	894
Lime Springs, Iowa	12	440
Lincoln, Iowa	11	1002
Linden, Iowa	11	368
Lineville, Iowa	11	399
Linn Grove, Iowa	12	1157
Lisbon, Iowa	11	334
Liscomb, Iowa	11	457
Little Rock, Iowa	12	490
Little Sioux, Iowa	103	476
Littleport, Iowa	11	384
Livermore, Iowa	11	439
Lockridge, Iowa	11	417
Logan, Iowa	11	413
Lohrville, Iowa	11	381
Lone Rock, Iowa	12	493
Lone Tree, Iowa	12	409
Long Grove, Iowa	12	421
Lorimor, Iowa	11	597
Lost Nation, Iowa	12	463
Lovilia, Iowa	11	399
Low Moor, Iowa	12	394
Lowden, Iowa	25	390
Lu Verne, Iowa	12	418
Luana, Iowa	11	344
Lucas, Iowa	11	888
Luther, Iowa	11	421
Luxemburg, Iowa	11	456
Luzerne, Iowa	11	406
Lynnville, Iowa	11	503
Lytton, Iowa	11	537
Macedonia, Iowa	11	1088
Macksburg, Iowa	11	481
Madrid, Iowa	11	442
Magnolia, Iowa	11	410
Malcom, Iowa	11	386
Mallard, Iowa	11	406
Maloy, Iowa	11	407
Malvern, Iowa	11	441
Manchester, Iowa	11	887
Manilla, Iowa	11	494
Manly, Iowa	11	385
Manning, Iowa	11	369
Manson, Iowa	11	442
Mapleton, Iowa	11	416
Maquoketa, Iowa	11	400
Marathon, Iowa	11	401
Archibald Hill	36	676
Marble Rock, Iowa	12	500
Marcus, Iowa	11	406
Marengo, Iowa	11	390
Marion, Iowa	11	515
Marne, Iowa	11	997
Death's-head Hawkmoth	347	477
Marquette, Iowa	11	442
Marshalltown, Iowa	11	552
Martelle, Iowa	11	812
Martensdale, Iowa	11	804
Martinsburg, Iowa	11	422
Marysville, Iowa	11	1335
Mason City, Iowa	12	415
Masonville, Iowa	11	520
Massena, Iowa	11	421
Matlock, Iowa	11	409
Maurice, Iowa	22	635
Maxwell, Iowa	11	1433
Maynard, Iowa	11	430
Maysville, Iowa	31	609
McCallsburg, Iowa	11	632
McCausland, Iowa	11	1665
McClelland, Iowa	11	238
Otto Fritz Meyerhof	44	447
Frederick Banting	43	387
Category:Canadian scientists	8	466
Post Office Protocol	141	1772
George Weah	23	409
Naohiro Takahara	21	1133
Shunsuke Nakamura	25	373
RomÃ¡rio	23	385
Fernando Hierro	23	439
Andriy Shevchenko	24	422
Megapode	48	373
Super Bowl XXXVII	52	426
Template:TC stats neutral color	17	433
Lysosome	62	391
Acherontia atropos	847	260
Acherontia styx	78	1718
Acherontia lachesis	43	37
Xylophanes amadis	25	1172
Territory	102	2228
Sphingidae	77	277
Acosmeryx socrates	16	2638
Scarlino	129	2052
Takin	38	831
Ryanair	33	2594
Ford Crown Victoria	72	544
Mira	50	4273
Ferry Corsten	36	17
Mimicry	2605	631
Beehive	88	791
Circe	50	497
Raccoon Dog	81	288
SÃ³crates	23	184
Atsushi Yanagisawa	20	51
Ian Harte	20	1746
Damien Duff	26	17
Shay Given	26	130
Dragan StojkoviÄ	31	394
Tsuneyasu Miyamoto	20	8643
Filippo Inzaghi	19	4770
Chyjice	34	1332
Kenny Miller	1102	1792
Communes of the Gironde department	13	5294
JosÃ© de Espronceda	39	4048
Bossugan	22	1356
Bouliac	22	3278
Bourdelles	22	710
Bourideys	22	245
Brach	22	1498
Branne, Gironde	24	1296
Brannens	22	2954
Braud-et-Saint-Louis	22	1745
Brouqueyran	22	363
Bruges, Gironde	24	1954
Budos	22	22
BÃ¨gles	23	2067
BÃ©gadan	23	18
BÃ©guey	23	329
Cabanac-et-Villagrains	22	14
Cabara	22	14
Cadarsac	22	37
Cadaujac	22	14
Cadillac, Gironde	24	14
Cadillac-en-Fronsadais	22	14
Camarsac	22	14
Cambes, Gironde	24	14
Camblanes-et-Meynac	22	14
Camiac-et-Saint-Denis	22	19
Camiran	22	14
Camps-sur-l'Isle	24	31
Campugnan	22	13
Cantenac	22	71
Cantois	22	14
CanÃ©jan	23	14
Capian	22	14
Caplong	22	14
Captieux	22	137
Carbon-Blanc	22	14
Carcans	22	14
Cardan, Gironde	24	14
Carignan-de-Bordeaux	22	14
Cars, Gironde	24	14
CartelÃ¨gue	23	14
Casseuil	22	16
Castelmoron-d'Albret	24	14
Castelnau-de-MÃ©doc	24	90
Castelviel	22	14
Castets-en-Dorthe	22	15
Castillon-de-Castets	22	54
Castillon-la-Bataille	22	14
Castres-Gironde	22	115
Caudrot	22	14
Caumont, Gironde	24	14
Cauvignac	22	14
Cavignac	22	14
Cazalis, Gironde	24	14
Cazats	22	15
Cazaugitat	22	14
Cenon	22	73
Cessac	22	16
Cestas	22	14
Chamadelle	22	30
Cissac-MÃ©doc	24	14
Civrac-de-Blaye	22	60
Civrac-en-MÃ©doc	24	14
Civrac-sur-Dordogne	22	23
Cleyrac	22	14
CoimÃ¨res	23	14
Coirac	22	14
Comps, Gironde	24	14
Coubeyrac	22	14
CouquÃ¨ques	23	14
Courpiac	22	46
Cours-de-MonsÃ©gur	24	14
Cours-les-Bains	22	14
Coutras	22	14
Coutures, Gironde	24	16
Croignon	22	14
CrÃ©on	23	16
Cubnezais	22	14
Cubzac-les-Ponts	22	14
Cudos, Gironde	24	15
Cursan	22	14
Cussac-Fort-MÃ©doc	24	14
CÃ©nac	23	14
CÃ©rons	23	52
CÃ©zac, Gironde	25	14
Daignac	22	16
Dardenac	22	14
DaubÃ¨ze	23	40
Dieulivol	22	14
Donnezac	22	14
Donzac, Gironde	24	15
Doulezon	22	14
Escaudes	22	2863
Escoussans	22	12
Espiet	22	12
Eynesse	22	54
Eyrans	22	15
Eysines	22	15
Faleyras	22	15
Fargues, Gironde	24	12
Fargues-Saint-Hilaire	22	12
Flaujagues	22	13
Floirac, Gironde	24	12
FloudÃ¨s	23	12
Fontet	22	12
FossÃ¨s-et-Baleyssac	23	12
Fours, Gironde	24	12
Francs, Gironde	24	12
Fronsac, Gironde	24	12
Frontenac, Gironde	24	12
Gabarnac	22	12
Gaillan-en-MÃ©doc	18	12
Gajac, Gironde	24	14
Galgon	22	14
Gans, Gironde	24	14
Gardegan-et-Tourtirac	22	14
Gauriac	22	14
Gauriaguet	22	15
Gensac, Gironde	24	22
Gironde-sur-Dropt	22	15
Giscos	22	14
Gornac	22	14
Goualade	22	243
Gours, Gironde	24	14
Gradignan	22	12
Grayan-et-l'HÃ´pital	25	14
Grignols, Gironde	24	12
GrÃ©zillac	23	12
Guillac, Gironde	24	12
Guillos	22	12
Gujan-Mestras	22	12
GuÃ®tres	23	12
GÃ©nissac	23	12
GÃ©nÃ©rac, Gironde	26	12
Haux, Gironde	24	12
Hostens	22	12
Hourtin	22	12
Illats	22	12
Isle-Saint-Georges	22	60
Izon	22	15
Jau-Dignac-et-Loirac	22	12
Jugazan	22	13
Juillac, Gironde	24	12
La BrÃ¨de	24	12
La Lande-de-Fronsac	23	12
La RiviÃ¨re, Gironde	26	13
La Roquille	33	13
La RÃ©ole	24	14
La Sauve	23	13
La Teste-de-Buch	23	12
Labarde	22	14
Labescau	22	78
Lacanau	22	14
Ladaux	22	14
Lados	22	14
Lagorce, Gironde	24	14
Lalande-de-Pomerol	22	14
Lamarque	22	16
Lamothe-Landerron	22	15
Landerrouat	22	16
Landerrouet-sur-SÃ©gur	24	15
Landiras	22	612
Langoiran	22	15
Langon, Gironde	24	148
Lansac, Gironde	24	14
Lanton, Gironde	24	14
Lapouyade	22	14
Laroque, Gironde	24	14
Lartigue, Gironde	24	14
Laruscade	22	14
Latresne	22	19
Lavazan	22	14
Le Barp	23	14
Le Bouscat	23	14
Le Fieu	23	16
Le Haillan	23	14
Le Nizan	23	31
Le Pian-MÃ©doc	25	191
Le Pian-sur-Garonne	23	14
Le Porge	23	14
Le Pout	23	14
Le Puy, Gironde	25	14
Le Taillan-MÃ©doc	25	14
Le Teich	23	14
Le Temple, Gironde	25	14
Le Tourne	23	14
Le Tuzan	23	13
Le Verdon-sur-Mer	23	48
Lerm-et-Musset	22	15
Les Artigues-de-Lussac	23	33
Les Billaux	23	15
Les Esseintes	23	17
Les LÃ¨ves-et-Thoumeyragues	24	15
Les Peintures	23	15
Les Salles-de-Castillon	23	15
Les Ãglisottes-et-Chalaures	24	242
Lesparre-MÃ©doc	24	17
Lestiac-sur-Garonne	22	15
Lignan-de-Bazas	22	15
Lignan-de-Bordeaux	26	15
Ligueux, Gironde	24	15
Listrac-MÃ©doc	24	15
Listrac-de-DurÃ¨ze	24	105
Lormont	22	15
Loubens, Gironde	24	15
Louchats	22	13
Loupes	22	116
Loupiac, Gironde	24	15
Loupiac-de-la-RÃ©ole	24	15
Lucmau	22	14
Ludon-MÃ©doc	24	75
Lugaignac	22	14
Lugasson	22	14
Lugon-et-l'Ãle-du-Carnay	25	14
Lugos	22	14
Lussac, Gironde	24	137
LÃ¨ge-Cap-Ferret	23	16
LÃ©ogeats	23	2107
LÃ©ognan	23	14
Macau, Gironde	24	14
Madirac	22	14
Maransin, Gironde	24	14
Marcenais	22	15
Marcheprime	22	14
Marcillac	22	16
Margaux	22	14
Margueron	22	14
Marimbault	22	17
Marions	22	26
Marsas, Gironde	24	14
Martignas-sur-Jalle	22	48
Martillac	22	15
Martres	22	38
Masseilles	22	14
Massugas	22	14
Mauriac, Gironde	24	14
Mazion	22	14
MazÃ¨res, Gironde	25	14
Mesterrieux	22	14
Mios	22	218
Mombrier	22	14
Mongauzy	22	14
Monprimblanc	22	14
MonsÃ©gur, Gironde	25	14
Montagne, Gironde	24	14
Montagoudin	22	14
Montignac, Gironde	24	14
Montussan	22	14
MorizÃ¨s	23	14
Mouillac, Gironde	24	14
Mouliets-et-Villemartin	22	14
Moulis-en-MÃ©doc	24	15
Moulon, Gironde	24	14
Mourens	22	72
MÃ©rignac, Gironde	25	14
MÃ©rignas	23	14
Naujac-sur-Mer	22	14
Naujan-et-Postiac	260	34
Neuffons	22	14
Noaillac	22	14
Noaillan	22	14
NÃ©ac	23	14
NÃ©rigean	23	15
Omet	22	14
Ordonnac	22	14
Origne	22	465
Paillet	22	14
Parempuyre	22	14
Pauillac	22	86
Pellegrue	22	15
Pessac	178	14
Pessac-sur-Dordogne	22	206
Petit-Palais-et-Cornemps	22	14
Peujard	22	14
Pineuilh	22	14
Plassac, Gironde	24	49
Pleine-Selve, Gironde	24	15
Podensac	22	14
Pomerol	22	14
Pompignac	22	14
PompÃ©jac	23	14
Pondaurat	22	14
PorchÃ¨res	23	79
Portets	22	14
Preignac	22	276
Prignac-en-MÃ©doc	24	14
Prignac-et-Marcamps	22	14
PrÃ©chac, Gironde	25	14
Pugnac	22	14
Puisseguin	22	14
Pujols, Gironde	24	14
Pujols-sur-Ciron	22	14
Puybarban	22	145
Puynormand	22	14
PÃ©rissac	23	15
Queyrac	22	14
Quinsac, Gironde	24	15
Rauzan	22	14
Reignac, Gironde	24	14
Rimons	22	16
Riocaud	22	14
Rions	23	15
Roaillan	22	28
Romagne, Gironde	24	14
Roquebrune, Gironde	24	14
Sablons, Gironde	24	14
Sadirac	22	14
Saillans, Gironde	24	14
Saint-Aignan, Gironde	24	15
Saint-Androny	22	14
Saint-AndrÃ©-de-Cubzac	25	14
Saint-AndrÃ©-du-Bois	25	14
Saint-AndrÃ©-et-Appelles	25	14
Saint-Antoine, Gironde	24	14
Saint-Antoine-du-Queyret	22	14
Saint-Antoine-sur-l'Isle	24	26
Saint-Aubin-de-Blaye	22	14
Saint-Aubin-de-Branne	22	14
Saint-Aubin-de-MÃ©doc	24	14
Saint-Avit-Saint-Nazaire	22	14
Saint-Avit-de-SoulÃ¨ge	24	14
Saint-Brice, Gironde	24	14
Saint-Caprais-de-Blaye	22	14
Saint-Caprais-de-Bordeaux	22	14
Saint-Christoly-MÃ©doc	24	39
Saint-Christoly-de-Blaye	22	17
Saint-Christophe-de-Double	22	17
Saint-Christophe-des-Bardes	22	21
Saint-Cibard	22	14
Saint-Ciers-d'Abzac	24	16
Saint-Ciers-de-Canesse	22	14
Saint-Ciers-sur-Gironde	22	14
Saint-CÃ´me	24	16
Saint-Denis-de-Pile	22	14
Saint-EstÃ¨phe	24	16
Saint-ExupÃ©ry, Gironde	26	14
Saint-Ferme	22	14
Saint-FÃ©lix-de-Foncaude	24	14
Saint-Genis-du-Bois	22	16
Saint-GenÃ¨s-de-Blaye	24	14
Saint-GenÃ¨s-de-Castillon	24	14
Saint-GenÃ¨s-de-Fronsac	24	14
Saint-GenÃ¨s-de-Lombaud	24	14
Saint-Germain-d'Esteuil	24	16
Saint-Germain-de-Grave	22	14
Saint-Germain-de-la-RiviÃ¨re	24	14
Saint-Germain-du-Puch	22	16
Saint-Gervais, Gironde	24	14
Saint-Girons-d'Aiguevives	24	197
Saint-Hilaire-de-la-Noaille	22	16
Saint-Hilaire-du-Bois, Gironde	24	14
Saint-Hippolyte, Gironde	24	16
Saint-Jean-d'Illac	24	14
Saint-Jean-de-Blaignac	22	16
Saint-Julien-Beychevelle	22	16
Saint-Laurent-MÃ©doc	24	16
Saint-Laurent-d'Arce	24	16
Saint-Laurent-des-Combes, Gironde	24	16
Saint-Laurent-du-Bois	22	14
Saint-Laurent-du-Plan	22	16
Saint-Loubert	22	14
Saint-LoubÃ¨s	24	14
Saint-Louis-de-Montferrand	22	16
Saint-LÃ©ger-de-Balson	24	14
Saint-LÃ©on, Gironde	26	14
Saint-Macaire	22	14
Saint-Magne	22	16
Saint-Magne-de-Castillon	22	14
Saint-Maixant, Gironde	24	156
Saint-Mariens	22	16
Saint-Martial, Gironde	24	16
Saint-Martin-Lacaussade	22	14
Saint-Martin-de-Laye	22	14
Saint-Martin-de-Lerm	22	14
Saint-Martin-de-Sescas	22	14
Saint-Martin-du-Bois, Gironde	24	16
Saint-Martin-du-Puy, Gironde	22	14
Saint-Michel-de-Castelnau	22	16
Saint-Michel-de-Fronsac	22	16
Saint-Michel-de-Lapujade	22	14
Saint-Michel-de-Rieufret	22	14
Saint-Morillon	22	14
Saint-MÃ©dard-d'Eyrans	26	14
Saint-MÃ©dard-de-GuiziÃ¨res	26	14
Saint-MÃ©dard-en-Jalles	24	14
Saint-Palais, Gironde	24	14
Saint-Pardon-de-Conques	22	14
Saint-Paul, Gironde	24	14
Saint-Pey-d'Armens	24	14
Saint-Pey-de-Castets	22	14
Saint-Philippe-d'Aiguille	24	14
Saint-Philippe-du-Seignal	22	14
Saint-Pierre-d'Aurillac	24	14
Saint-Pierre-de-Bat	22	14
Saint-Pierre-de-Mons	22	14
Saint-Quentin-de-Baron	22	14
Saint-Quentin-de-Caplong	22	18
Saint-Romain-la-VirvÃ©e	24	18
Saint-Sauveur, Gironde	24	61
Saint-Sauveur-de-Puynormand	22	14
Saint-Savin, Gironde	24	14
Saint-Selve	22	14
Saint-Seurin-de-Bourg	22	16
Saint-Seurin-de-Cadourne	22	14
Saint-Seurin-de-Cursac	22	16
Saint-Seurin-sur-l'Isle	24	14
Saint-Sulpice-de-Faleyrens	22	16
Saint-Sulpice-de-Guilleragues	22	14
Saint-Sulpice-de-Pommiers	22	14
Saint-Sulpice-et-Cameyrac	22	14
Saint-Symphorien, Gironde	24	14
Saint-SÃ¨ve	24	16
Saint-Trojan	22	14
Saint-Vincent-de-Paul, Gironde	24	14
Saint-Vincent-de-Pertignas	22	14
Saint-Vivien-de-Blaye	22	14
Saint-Vivien-de-MonsÃ©gur	24	14
Saint-Vivien-de-MÃ©doc	24	14
Saint-Yzan-de-Soudiac	22	14
Saint-Yzans-de-MÃ©doc	24	16
Saint-Ãmilion	25	14
Saint-Ãtienne-de-Lisse	25	14
Sainte-Colombe, Gironde	24	14
Sainte-Croix-du-Mont	22	14
Sainte-Eulalie, Gironde	24	14
Sainte-Florence, Gironde	22	16
Sainte-Foy-la-Grande	22	14
Sainte-Foy-la-Longue	22	14
Sainte-Gemme, Gironde	24	14
